clean cache ok! cache_array[9705509]:8
platform,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,avg_latency(ns),throughput(op/s),bandwidth(MB)
PMEM,write,random,8,8,1,131072,214.961,4652014,35
PMEM,read,random,8,8,1,131072,174.412,5733566,43
PMEM,write,random,8,16,1,65536,201.633,4959493,37
PMEM,read,random,8,16,1,65536,158.318,6316381,48
PMEM,write,random,8,32,1,32768,182.737,5472345,41
PMEM,read,random,8,32,1,32768,177.954,5619421,42
PMEM,write,random,8,64,1,16384,116.115,8612129,65
PMEM,read,random,8,64,1,16384,179.398,5574209,42
PMEM,write,random,8,128,1,8192,115.804,8635292,65
PMEM,read,random,8,128,1,8192,184.014,5434367,41
PMEM,write,random,8,256,1,4096,111.663,8955550,68
PMEM,read,random,8,256,1,4096,180.124,5551745,42
PMEM,write,random,8,512,1,2048,109.753,9111333,69
PMEM,read,random,8,512,1,2048,180.865,5528993,42
PMEM,write,random,8,1024,1,1024,158.097,6325243,48
PMEM,read,random,8,1024,1,1024,186.979,5348180,40
PMEM,write,random,8,2048,1,512,238.098,4199957,32
PMEM,read,random,8,2048,1,512,199.621,5009490,38
PMEM,write,random,8,4096,1,256,190.027,5262400,40
PMEM,read,random,8,4096,1,256,215.039,4650317,35
PMEM,write,random,8,8192,1,128,308.391,3242640,24
PMEM,read,random,8,8192,1,128,336.406,2972596,22
PMEM,write,random,8,16384,1,64,106.609,9380038,71
PMEM,read,random,8,16384,1,64,415.828,2404839,18
PMEM,write,random,8,32768,1,32,102.906,9717582,74
PMEM,read,random,8,32768,1,32,385.656,2592982,19
PMEM,write,random,8,65536,1,16,95.8125,10437051,79
PMEM,read,random,8,65536,1,16,180.938,5526770,42
PMEM,write,random,8,131072,1,8,79.5,12578616,95
PMEM,read,random,8,131072,1,8,163.375,6120887,46
PMEM,write,random,8,262144,1,4,48.5,20618556,157
PMEM,read,random,8,262144,1,4,142.25,7029876,53
PMEM,write,random,8,524288,1,2,42.5,23529411,179
PMEM,read,random,8,524288,1,2,137.5,7272727,55
PMEM,write,random,8,1048576,1,1,83,12048192,91
PMEM,read,random,8,1048576,1,1,258,3875968,29
PMEM,write,random,16,16,1,65536,201.74,4956883,75
PMEM,read,random,16,16,1,65536,159.627,6264607,95
PMEM,write,random,16,32,1,32768,184.147,5430433,82
PMEM,read,random,16,32,1,32768,184.846,5409898,82
PMEM,write,random,16,64,1,16384,120.762,8280757,126
PMEM,read,random,16,64,1,16384,182.658,5474720,83
PMEM,write,random,16,128,1,8192,119.623,8359593,127
PMEM,read,random,16,128,1,8192,180.619,5536523,84
PMEM,write,random,16,256,1,4096,111.661,8955687,136
PMEM,read,random,16,256,1,4096,178.671,5596867,85
PMEM,write,random,16,512,1,2048,110.916,9015830,137
PMEM,read,random,16,512,1,2048,178.894,5589916,85
PMEM,write,random,16,1024,1,1024,160.46,6232084,95
PMEM,read,random,16,1024,1,1024,182.249,5486997,83
PMEM,write,random,16,2048,1,512,237.609,4208588,64
PMEM,read,random,16,2048,1,512,197.725,5057539,77
PMEM,write,random,16,4096,1,256,182.008,5494269,83
PMEM,read,random,16,4096,1,256,234.066,4272291,65
PMEM,write,random,16,8192,1,128,293.586,3406157,51
PMEM,read,random,16,8192,1,128,300.016,3333159,50
PMEM,write,random,16,16384,1,64,167.453,5971820,91
PMEM,read,random,16,16384,1,64,389.5,2567394,39
PMEM,write,random,16,32768,1,32,102.438,9762050,148
PMEM,read,random,16,32768,1,32,249.531,4007514,61
PMEM,write,random,16,65536,1,16,94.0625,10631229,162
PMEM,read,random,16,65536,1,16,244.375,4092071,62
PMEM,write,random,16,131072,1,8,79.75,12539184,191
PMEM,read,random,16,131072,1,8,159.5,6269592,95
PMEM,write,random,16,262144,1,4,46.25,21621621,329
PMEM,read,random,16,262144,1,4,146.25,6837606,104
PMEM,write,random,16,524288,1,2,61,16393442,250
PMEM,read,random,16,524288,1,2,151.5,6600660,100
PMEM,write,random,16,1048576,1,1,92,10869565,165
PMEM,read,random,16,1048576,1,1,263,3802281,58
PMEM,write,random,32,32,1,32768,186.363,5365858,163
PMEM,read,random,32,32,1,32768,180.13,5551546,169
PMEM,write,random,32,64,1,16384,118.466,8441205,257
PMEM,read,random,32,64,1,16384,184.451,5421487,165
PMEM,write,random,32,128,1,8192,114.531,8731278,266
PMEM,read,random,32,128,1,8192,179.353,5575599,170
PMEM,write,random,32,256,1,4096,111.876,8938449,272
PMEM,read,random,32,256,1,4096,179.338,5576058,170
PMEM,write,random,32,512,1,2048,112.812,8864304,270
PMEM,read,random,32,512,1,2048,181.81,5500245,167
PMEM,write,random,32,1024,1,1024,156.931,6372240,194
PMEM,read,random,32,1024,1,1024,182.916,5466989,166
PMEM,write,random,32,2048,1,512,235.215,4251432,129
